seller,seller_rank,item_sales_brl,cumulative_pct_sellers,cumulative_pct_sales
821fb029fc6e495ca4f08a35d51e53a5,145,16333.72,5.1916,53.6483
76d64c4aca3a7baf218bf93ef7fa768d,146,16294.1,5.2274,53.7803
41b39e28db005d9731d9d485a83b4c38,147,16181.85,5.2632,53.9115
1f1bb1f0859883505541bdd6606193e5,148,16040.84,5.299,54.0414
7aa4334be125fcdd2ba64b3180029f14,149,16012.95,5.3348,54.1712
86ccac0b835037332a596a33b6949ee1,150,15894.34,5.3706,54.2999
fa40cc5b934574b62717c68f3d678b6d,151,15850.58,5.4064,54.4284
ef0ace09169ac090589d85746e3e036f,152,15784.9,5.4422,54.5562
4a3ccda38b2129705f3fb522db62ca31,153,15527.12,5.478,54.682
1e8b33f18b4f7598d87f5cbee2282cc2,154,15518.76,5.5138,54.8078
d650b663c3b5f6fb392b6326366efa9a,155,15399.9,5.5496,54.9326
0adac9fbd9a2b63cccaac4f8756c1ca8,156,15291.7,5.5854,55.0565
2a5b78b41cd05baeac8df54c6606b92c,157,15262.3,5.6212,55.1801
c847e075301870dd144a116762eaff9a,158,15248.8,5.657,55.3037
8ae520247981aa06bc94abddf5f46d34,159,15016.23,5.6928,55.4253
e5a38146df062edaf55c38afa99e42dc,160,15003.54,5.7286,55.5469
e2a1ac9bf33e5549a2a4f834e70df2f8,161,14999.45,5.7644,55.6684
229c3efbfb0ea2058de4ccdfbc3d784a,162,14962.0,5.8002,55.7896
c72de06d72748d1a0dfb2125be43ba63,163,14426.0,5.836,55.9065
1b4c3a6f53068f0b6944d2d005c9fc89,164,14420.5,5.8718,56.0233
85d9eb9ddc5d00ca9336a2219c97bb13,165,14299.3,5.9076,56.1392
080199a181c46c657dc5aa235411be3b,166,14181.2,5.9434,56.2541
f9244d45189d3a3605499abddeade7d5,167,14081.45,5.9792,56.3682
f08a5b9dd6767129688d001acafc21e5,168,14069.63,6.015,56.4822
2a84855fd20af891be03bc5924d2b453,169,13959.3,6.0508,56.5953
8e6d7754bc7e0f22c96d255ebda59eba,170,13943.59,6.0866,56.7083
4c2b230173bb36f9b240f2b8ac11786e,171,13933.77,6.1224,56.8212
c6bda72e4dbf5c5866b13cb1810c6d03,172,13803.5,6.1583,56.933
d921b68bf747894be13a97ae52b0f386,173,13739.3,6.1941,57.0443
a5cba26a62b8b4d0145b68b841e62e7f,174,13700.04,6.2299,57.1553
c3acdfac4e3e97ff87529454fbc03642,175,13690.0,6.2657,57.2662
b8bc237ba3788b23da09c0f1f3a3288c,176,13685.71,6.3015,57.3771
a6bd7d1ccdac48c6b33b28596b7eb122,177,13669.11,6.3373,57.4879
3b15288545f8928d3e65a8f949a28291,178,13634.83,6.3731,57.5983
79ebd9a61bac3eaf882805ed4ecfa12a,179,13609.09,6.4089,57.7086
1f9ab4708f3056ede07124aad39a2554,180,13312.93,6.4447,57.8165
aba1721a889e04decc910aa13b768ef4,181,13287.3,6.4805,57.9241
8cc6a0e5738e61a87b03c78b2ba9db4b,182,13272.7,6.5163,58.0316
d94a40fd42351c259927028d163af842,183,13267.8,6.5521,58.1391
34d1ca11b242c0fee2c834ae8d788566,184,13236.43,6.5879,58.2464
2e90cb1677d35cfe24eef47d441b7c87,185,13167.71,6.6237,58.3531
05f51e13da97139648b8125c31e5f51b,186,13100.31,6.6595,58.4592
d05ae8f7a5bd1d2a690a44cd079e4e27,187,13040.0,6.6953,58.5649
669ae81880e08f269a64487cfb287169,188,13018.87,6.7311,58.6703
66922902710d126a0e7d26b0e3805106,189,12996.4,6.7669,58.7756
01fdefa7697d26ad920e9e0346d4bd1b,190,12982.66,6.8027,58.8808
431af27f296bc6519d890aa5a05fdb11,191,12974.6,6.8385,58.9859
039e6ad9dae79614493083e241147386,192,12925.0,6.8743,59.0907
5cf13accae3222c70a9cac40818ae839,193,12895.6,6.9101,59.1952
6039e27294dc75811c0d8a39069f52c0,194,12891.1,6.9459,59.2996
ce248b21cb2adc36282ede306b7660e5,195,12795.25,6.9817,59.4033
ed4acab38528488b65a9a9c603ff024a,196,12759.45,7.0175,59.5066
440dd6ab244315c632130ecfb63827b1,197,12689.4,7.0533,59.6095
a3e9a2c700480d9bb01fba070ba80a0e,198,12685.8,7.0892,59.7122
00fc707aaaad2d31347cf883cd2dfe10,199,12684.9,7.125,59.815
75d34ebb1bd0bd7dde40dd507b8169c3,200,12656.33,7.1608,59.9176
cfb1a033743668a192316f3c6d1d2671,201,12582.04,7.1966,60.0195
b372ee768ed69e46ca8cdbd267aa7a38,202,12575.0,7.2324,60.1214
e24fc9fcd865784fb25705606fe3dfe7,203,12558.0,7.2682,60.2231
1ca7077d890b907f89be8c954a02686a,204,12474.64,7.304,60.3242
a673821011d0cec28146ea42f5ab767f,205,12449.53,7.3398,60.4251
ad97a199236354e53fcd91a5a913e9a2,206,12446.85,7.3756,60.5259
99eaacc9e6046db1c82b163c5f84869f,207,12443.28,7.4114,60.6267
d50d79cb34e38265a8649c383dcffd48,208,12436.44,7.4472,60.7275
6d66611d7c44cc30ce351abc49a68421,209,12427.4,7.483,60.8282
4b9750c8ad28220fe6702d4ecb7c898f,210,12368.25,7.5188,60.9284
2b1a40c1daabc6ca280c4b815c101841,211,12342.6,7.5546,61.0284
6edacfd9f9074789dad6d62ba7950b9c,212,12328.5,7.5904,61.1283
213b25e6f54661939f11710a6fddb871,213,12239.15,7.6262,61.2274
c31eff8334d6b3047ed34bebd4d62c36,214,12191.72,7.662,61.3262
ac3508719a1d8f5b7614b798f70af136,215,12166.44,7.6978,61.4248
66e0557ecc2b4dbea057e93f215f68d8,216,12141.0,7.7336,61.5232
87b740daf17b5d1be335a64164ec6842,217,12099.89,7.7694,61.6212
0b35c634521043bf4b47e21547b99ab5,218,12089.35,7.8052,61.7191
8b8cfc8305aa441e4239358c9f6f2485,219,11892.0,7.841,61.8155
701938c450705b8ae65fc923b70f35c7,220,11879.29,7.8768,61.9117
2e1c9f22be269ef4643f826c9e650a52,221,11773.3,7.9126,62.0071
e8b3a3a38279a82f0e5d006d5e5b7d2c,222,11762.4,7.9484,62.1024
bba3293d6f5d5af2f415e004e8b93ae3,223,11702.1,7.9842,62.1972
7901646fdd36a55f564ffaf2dbccaaf7,224,11643.08,8.0201,62.2916
