purchase_date,approved,canceled,created,delivered,invoiced,processing,shipped,unavailable
2017-08-28,0,1,0,150,2,0,2,0
2017-08-29,0,0,0,135,0,2,0,0
2017-08-30,0,2,0,173,2,0,2,2
2017-08-31,0,1,0,143,4,0,1,0
2017-09-01,0,1,0,153,2,1,1,0
2017-09-02,0,0,0,102,0,0,2,0
2017-09-03,0,1,0,123,0,1,0,0
2017-09-04,0,0,0,147,0,0,1,2
2017-09-05,0,0,0,151,0,1,2,3
2017-09-06,0,1,0,138,0,0,1,0
2017-09-07,0,0,0,97,0,0,0,2
2017-09-08,0,1,0,111,0,1,2,1
2017-09-09,0,0,0,103,0,0,3,0
2017-09-10,0,1,0,132,2,0,0,1
2017-09-11,0,1,0,176,0,0,1,2
2017-09-12,0,2,0,200,2,0,1,1
2017-09-13,0,1,0,203,0,0,1,2
2017-09-14,0,0,0,163,0,2,1,0
2017-09-15,0,2,0,144,1,1,2,0
2017-09-16,0,2,0,125,1,0,1,0
2017-09-17,0,0,0,125,0,0,0,1
2017-09-18,0,0,0,179,0,1,3,0
2017-09-19,0,0,0,149,1,3,0,1
2017-09-20,0,0,0,158,0,3,0,2
2017-09-21,0,0,0,144,3,2,1,0
2017-09-22,0,1,0,133,0,1,1,2
2017-09-23,0,1,0,81,1,1,1,3
2017-09-24,0,2,0,112,0,0,0,4
2017-09-25,0,1,0,129,1,0,2,3
2017-09-26,0,0,0,174,0,1,4,1
2017-09-27,0,1,0,144,0,0,0,2
2017-09-28,0,1,0,140,0,1,1,0
2017-09-29,0,0,0,109,1,1,5,5
2017-09-30,0,0,0,105,2,1,1,0
2017-10-01,0,2,0,124,1,1,0,0
2017-10-02,0,0,0,140,0,0,2,1
2017-10-03,0,0,0,193,4,0,1,0
2017-10-04,0,0,0,156,0,0,1,0
2017-10-05,0,1,0,138,1,0,0,0
2017-10-06,0,1,0,124,0,0,1,4
2017-10-07,0,1,0,100,0,1,1,2
2017-10-08,0,0,0,124,0,0,0,2
2017-10-09,0,2,0,187,0,1,1,2
2017-10-10,0,2,0,175,2,1,0,5
2017-10-11,0,0,0,151,0,2,3,2
2017-10-12,0,2,0,136,0,1,1,3
2017-10-13,0,0,0,150,0,1,0,3
2017-10-14,0,1,0,114,0,0,1,0
2017-10-15,0,0,0,117,0,3,0,1
2017-10-16,0,1,0,188,1,3,2,0
2017-10-17,0,0,0,195,0,1,1,5
2017-10-18,0,0,0,176,0,0,0,3
2017-10-19,0,0,0,172,1,1,1,1
2017-10-20,0,3,0,118,0,0,1,2
2017-10-21,0,2,0,104,0,0,4,3
2017-10-22,0,1,0,152,1,0,3,1
2017-10-23,0,1,0,152,1,1,3,3
2017-10-24,0,1,0,162,1,0,0,0
2017-10-25,0,0,0,152,1,0,1,2
2017-10-26,0,1,0,140,0,0,2,1
2017-10-27,0,0,0,130,0,0,1,2
2017-10-28,0,1,0,85,0,0,1,1
2017-10-29,0,2,0,129,0,0,0,1
2017-10-30,0,1,0,138,2,3,0,5
2017-10-31,0,0,0,156,0,0,1,3
2017-11-01,0,0,0,108,1,0,0,2
2017-11-02,0,2,0,117,0,0,2,3
2017-11-03,0,0,0,138,0,0,0,5
2017-11-04,0,0,0,106,2,1,2,0
2017-11-05,0,2,0,137,0,1,2,2
2017-11-06,0,4,1,182,0,2,2,2
2017-11-07,0,0,0,154,0,2,1,3
2017-11-08,0,2,0,169,2,1,1,0
2017-11-09,0,3,0,182,1,0,3,2
2017-11-10,0,2,0,159,2,1,1,0
2017-11-11,0,1,0,152,1,0,1,4
2017-11-12,0,0,0,170,0,1,1,2
2017-11-13,0,2,0,197,2,1,0,3
2017-11-14,0,4,0,184,0,0,1,3
2017-11-15,0,3,0,176,0,1,5,1
2017-11-16,0,0,0,219,4,0,1,2
2017-11-17,0,0,0,185,1,1,2,8
2017-11-18,0,1,0,141,2,0,2,3
2017-11-19,0,0,0,157,0,0,1,0
2017-11-20,0,2,0,219,2,2,2,3
2017-11-21,0,2,0,222,1,1,0,2
2017-11-22,0,1,0,190,0,0,7,3
2017-11-23,0,2,0,268,4,0,3,6
2017-11-24,0,0,0,1147,4,3,12,10
2017-11-25,0,0,1,487,2,3,6,0
2017-11-26,0,2,0,382,0,1,4,2
2017-11-27,0,0,0,395,1,1,3,3
2017-11-28,0,1,0,372,1,1,2,3
2017-11-29,0,1,0,314,1,0,3,4
2017-11-30,0,0,0,260,1,1,2,3
2017-12-01,0,1,0,267,1,1,5,0
2017-12-02,0,0,0,212,0,1,1,2
2017-12-03,0,1,0,227,2,1,1,2
2017-12-04,0,1,0,322,1,4,3,6
2017-12-05,0,0,2,269,1,0,5,5
2017-12-06,0,1,0,269,0,0,4,6
2017-12-07,0,0,0,223,0,1,2,3
2017-12-08,0,0,0,210,1,1,3,4
2017-12-09,0,0,0,154,0,0,1,0
2017-12-10,0,1,0,184,1,1,1,2
2017-12-11,0,1,0,262,1,1,2,0
2017-12-12,0,0,0,251,0,2,5,2
2017-12-13,0,1,0,215,0,0,2,0
2017-12-14,0,0,0,195,1,0,3,1
2017-12-15,0,0,0,185,1,3,3,0
2017-12-16,0,0,0,129,0,1,1,0
2017-12-17,0,0,0,130,0,1,2,0
2017-12-18,0,0,0,205,1,0,2,1
2017-12-19,0,0,0,173,0,0,1,2
2017-12-20,0,0,0,168,0,2,1,0
2017-12-21,0,1,0,140,0,0,2,0
2017-12-22,0,0,0,108,0,1,1,1
2017-12-23,0,1,0,101,0,5,1,1
2017-12-24,0,1,0,57,0,1,0,0
2017-12-25,0,0,0,86,1,1,2,0
2017-12-26,0,0,0,165,0,3,0,0
2017-12-27,0,0,0,164,1,0,1,1
2017-12-28,0,0,0,143,0,3,0,0
2017-12-29,0,0,0,132,0,1,0,2
2017-12-30,0,0,0,96,0,0,0,1
2017-12-31,0,1,0,71,0,0,2,0
2018-01-01,0,0,0,72,0,1,0,1
2018-01-02,0,0,0,200,0,0,3,1
2018-01-03,0,1,0,219,0,1,1,3
2018-01-04,0,0,0,248,0,4,3,3
2018-01-05,0,0,0,197,0,7,5,1
2018-01-06,0,0,0,213,0,0,2,1
2018-01-07,0,0,0,192,1,0,2,1
2018-01-08,0,0,0,287,0,0,5,1
2018-01-09,0,0,0,246,1,1,3,1
2018-01-10,0,0,0,271,2,1,3,0
2018-01-11,0,0,0,260,0,2,2,2
2018-01-12,0,0,0,234,1,0,4,4
2018-01-13,0,0,0,211,1,1,3,3
2018-01-14,0,0,0,229,0,2,1,3
2018-01-15,0,0,0,300,1,3,1,2
2018-01-16,0,0,0,296,1,0,4,1
2018-01-17,0,0,0,277,2,1,2,0
2018-01-18,0,0,0,236,0,0,2,3
2018-01-19,0,0,0,225,3,2,2,3
2018-01-20,0,1,0,182,0,0,1,0
2018-01-21,0,2,0,188,1,0,4,4
2018-01-22,0,1,0,305,0,2,2,4
2018-01-23,0,2,0,256,1,0,3,0
2018-01-24,0,3,0,236,0,1,3,1
2018-01-25,0,2,0,226,0,0,4,1
2018-01-26,0,3,0,223,0,0,2,1
2018-01-27,0,3,0,150,0,0,0,0
2018-01-28,0,3,0,149,0,0,3,1
2018-01-29,0,4,0,242,0,0,0,0
2018-01-30,0,6,0,248,0,0,3,1
2018-01-31,0,3,0,251,0,0,1,1
2018-02-01,0,4,0,227,0,0,1,0
2018-02-02,0,4,0,207,0,0,1,0
2018-02-03,0,3,0,189,0,0,1,0
2018-02-04,0,1,0,197,0,2,1,0
2018-02-05,0,5,0,265,0,0,1,0
2018-02-06,0,1,0,262,1,0,3,1
2018-02-07,0,3,0,242,0,0,1,2
2018-02-08,0,4,0,225,0,0,0,1
2018-02-09,0,3,1,208,0,0,0,4
2018-02-10,0,2,0,174,0,1,0,2
2018-02-11,0,1,0,165,0,1,3,2
2018-02-12,0,1,0,214,0,0,0,3
2018-02-13,0,3,0,217,0,1,2,1
2018-02-14,0,4,0,287,1,0,2,1
2018-02-15,0,5,0,270,2,0,4,2
2018-02-16,0,0,0,210,0,1,1,2
2018-02-17,0,4,0,198,0,0,1,1
2018-02-18,0,2,0,199,0,0,1,0
2018-02-19,0,4,0,251,0,0,4,0
2018-02-20,0,3,0,283,0,0,2,1
2018-02-21,0,4,0,260,0,0,1,1
2018-02-22,0,4,0,268,0,0,6,1
2018-02-23,0,0,0,232,0,0,3,0
2018-02-24,0,1,0,188,1,0,0,1
2018-02-25,0,1,0,231,0,0,5,0
2018-02-26,0,3,0,290,0,0,3,3
2018-02-27,0,2,0,293,1,0,2,0
2018-02-28,0,1,0,303,0,0,8,1
2018-03-01,0,4,0,268,1,0,3,1
2018-03-02,0,0,0,262,0,0,3,1
2018-03-03,0,3,0,205,0,0,4,2
2018-03-04,0,0,0,228,0,0,7,1
2018-03-05,0,4,0,252,1,1,5,1
2018-03-06,0,0,0,268,1,0,2,0
2018-03-07,0,0,0,254,0,0,4,1
2018-03-08,0,1,0,227,0,0,6,0
2018-03-09,0,0,0,197,1,0,5,1
2018-03-10,0,1,0,185,1,0,5,1
2018-03-11,0,0,0,215,0,0,3,0
2018-03-12,0,0,0,228,0,1,3,0
2018-03-13,0,1,0,217,1,1,7,0
2018-03-14,0,0,0,195,0,0,3,1
2018-03-15,0,3,0,272,5,1,8,1
2018-03-16,0,0,0,242,3,2,5,0
2018-03-17,0,0,0,176,1,0,3,0
2018-03-18,0,0,0,211,0,0,4,0
2018-03-19,0,1,0,293,1,0,7,1
2018-03-20,0,2,0,292,1,0,2,0
2018-03-21,0,1,0,277,0,0,7,1
2018-03-22,0,0,0,249,1,0,4,0
